Experiment,Ground State Energy,Best Measurement,Execution Time (seconds),Number of qubits,shots,Fraction
"Aer Simulation Local Penalty QAOA, post-selected",16.060388684272766,001100010100001010,200.226469039917,18,1000
"Aer Simulation Local Penalty QAOA, post-selected",16.060388684272766,001100010100001010,207.8058726787567,18,8000
"Aer Simulation Local Penalty QAOA, post-selected",16.060388684272766,001100010100001010,204.2101650238037,18,5000,0.0033806451612903225
