Experiment,Ground State Energy,Best Measurement,Execution Time (seconds),Number of qubits,shots,Fraction
"Aer Simulation Local Penalty QAOA, post-selected",3.9131865799427032,001001100010,550.3874409198761,12,1000
Aer Simulation Local Penalty QAOA,3.9131865799427032,"{'state': 1124, 'bitstring': '010001100100', 'value': (-30.46722700074315+0j), 'probability': 0.0008}",657.7085881233215,12,5000,0.01668
