Size,Depth
4,8
6,14
6,23
8,14
8,23
9,32
10,14
10,47
12,14
12,32
12,35
12,47
14,14
15,32
15,47
16,14
16,35
18,32
18,65
20,35
20,47
24,38
24,65
25,47
30,47
30,65
35,50
36,65
40,50



