Size,Depth
4,10
6,16
6,22
8,22
8,16
9,31
10,46
10,16
12,16
12,46
12,34
12,31
14,16
14,46
15,46
15,31
16,46
16,34
16,16
18,64
18,94
18,31
20,34
20,46
21,31
21,70
24,64
24,34
24,31
24,70
25,46
27,94
28,34
28,70
30,64
30,46
32,34
32,70
35,49
35,70
36,64
36,94
40,70
40,49
42,64
42,70
45,94
48,64
49,70
56,70
