Size,CNOT Layers,ZZ Layers Init State
4,6,3
4,6,3
4,6,3
4,5,3
4,5,3
4,6,3
4,6,3
4,6,3
4,6,3
4,6,3
4,8,3
4,6,3
4,6,3
4,6,3
