Size,CNOTs
4,16
4,16
6,28
6,30
8,48
8,40
9,52
10,52
10,70
12,64
12,78
12,96
12,88
14,76
14,126
15,128
15,100
16,128
18,180
18,126
20,168
20,190
21,236
21,148
24,208
24,264
25,248
28,350
28,248
30,310
30,348
35,460
35,368
36,432
42,516
42,574
49,684
