Size,CNOTs
4,12
4,12
6,22
6,30
8,32
8,56
9,54
10,90
10,42
12,52
12,78
12,132
12,100
14,62
14,182
15,102
15,160
16,144
18,234
18,126
20,188
20,230
21,150
21,322
24,336
24,232
25,300
28,462
28,276
30,370
30,438
35,440
35,602
36,540
42,642
42,742
49,882
