Size,Depth,qc Depth
4,4,10
6,6,16
8,6,16
10,6,16
12,6,16
14,6,16
16,6,16
18,6,16
20,6,16
22,6,16
24,6,16
26,6,16
28,6,16
30,6,16
4,13
4,13
