Size,CNOTs
4,6
6,12
6,9
8,12
8,18
9,18
10,15
10,24
12,18
12,24
12,27
12,30
14,21
14,36
15,30
15,36
16,36
18,45
18,36
20,45
20,48
21,42
21,54
24,54
24,60
25,60
28,72
28,63
30,72
30,75
35,84
35,90
36,90
42,105
42,108
49,126
