Size,Depth
4,13
6,19
6,19
8,19
8,19
9,31
10,19
10,31
12,31
12,31
12,31
12,19
14,19
14,31
15,31
15,49
16,19
16,31
16,31
18,31
18,55
18,55
20,31
20,49
21,31
21,55
24,31
24,55
24,31
24,55
25,49
27,85
28,55
28,31
30,55
30,49
32,55
32,31
35,49
35,55
36,85
36,55
40,49
40,55
42,58
42,55
45,85
48,55
