Size,CNOTs,cnot Depth
4,19,16
4,23,19
4,17,14
4,23,19
4,27,22
4,25,21
4,25,21
4,25,21
4,23,19
4,25,21
4,19,16
4,17,14
4,17,14
4,25,21
4,19,16
4,19,16
4,25,21
4,22,18
4,22,18
4,22,18
4,19,16
4,17,14
4,19,16
4,25,21
4,23,19
