Size,Depth,Two-Qubit Gates,two_qubit Depth,Total Gates
4,48,25,18,98
6,75,49,26,198

4,66,28,22,126
6,85,46,29,193
4,66,28,22,126
4,66,28,22,121
4,74,28,25,124
4,74,28,25,128
4,66,28,22,126
4,66,28,22,126
4,66,28,22,121
4,48,25,18,98
4,48,25,18,98
4,79,32,27,141
4,66,28,22,126
4,77,32,25,143
