Size,Depth,Two-Qubit Gates,two_qubit Depth,Total Gates
16,486,369,174,1519
16,470,369,167,1522
16,499,369,179,1517
16,473,369,167,1535
16,470,369,167,1522
16,498,372,179,1522
16,499,369,179,1517
16,456,369,161,1526
16,902,756,327,2994
16,470,369,167,1522
16,493,375,167,1673
