Size,Depth,Two-Qubit Gates,two_qubit Depth,Total Gates
12,477,339,110,2291
18,1037,810,258,5439
24,1262,1341,306,9007
30,1302,1431,321,9488
36,1732,1833,430,12153
42,1820,2469,450,16456
