Size,Depth,Two-Qubit Gates,two_qubit Depth,Total Gates
12,319,252,80,1614
18,747,609,194,3930
24,859,885,221,5679
30,1050,1137,266,7260
36,1537,1599,393,10311
42,1666,1938,427,12501
