Size,Depth,Two-Qubit Gates,two_qubit Depth,Total Gates
8,182,109,49,639
12,357,260,96,1586
16,783,549,203,3499
20,984,691,250,4383
24,1286,941,332,6023
28,1263,906,329,5668
