Size,Depth,Two-Qubit Gates,two_qubit Depth,Total Gates
6,108,56,37,237
9,181,130,63,539
9,181,130,63,539
9,181,130,63,539
9,181,130,63,539
9,181,130,63,539
9,181,130,63,539
9,181,130,63,539
9,181,130,63,539
9,366,203,135,814
9,181,130,63,539
9,187,134,63,584
