Size,Depth,Two-Qubit Gates,two_qubit Depth,Total Gates
6,92,45,36,182
9,152,105,53,454
9,139,105,49,451
9,152,105,53,454
9,139,105,49,451
9,152,105,53,454
9,152,105,53,454
9,152,105,53,454
9,139,105,49,451
9,273,153,101,602
9,152,105,53,454
9,168,105,56,474
