Size,Depth,Two-Qubit Gates,two_qubit Depth,Total Gates
49,1789,1962,655,7844
49,1778,1989,642,7965
49,1671,1959,607,7870
49,1573,2619,580,10648
49,1732,2001,629,7980
49,1844,1983,680,7938
49,1742,1953,627,7868
49,1825,1938,665,7742
49,1702,1989,613,8026
49,1647,1944,595,7880
49,1919,1938,699,7762
49,1726,1944,625,7826
49,1772,1977,651,7923
49,1852,1971,670,7923
49,1948,1992,706,7966
49,1849,1869,648,8225
