Size,CNOTs,cnot Depth
9,122,62
9,118,58
9,118,61
9,113,53
9,128,65
9,112,55
9,134,65
9,140,74
9,118,58
9,107,47
9,136,73
9,116,53
9,127,64
9,110,53
9,119,56
9,148,75
9,109,49
9,122,53
