Size,CNOTs,cnot Depth
4,27,18
4,40,29
4,35,24
4,35,24
4,27,18
4,35,24
4,27,18
4,40,29
4,35,24
4,35,24
4,27,18
4,35,24
4,27,18
4,27,18
4,27,18
4,27,18
4,40,29
4,27,18
4,35,24
4,27,18
4,40,29
4,27,18
4,27,18
4,40,29
4,40,29
