Size,CNOTs,cnot Depth
36,1881,580
36,1528,434
36,1815,539
36,1964,627
36,2017,602
36,1934,583
36,1748,507
36,1871,530
36,1890,525
36,1758,571
36,1887,536
36,2117,662
36,1653,499
36,1928,545
36,1837,514
36,1615,452
36,1815,514
