Size,Depth,Two-Qubit Gates,two_qubit Depth,Total Gates
10,344,224,80,1528
15,502,436,121,2915
20,992,758,242,5076
25,1226,1144,303,7681
30,1135,1244,277,8288
35,1679,1576,415,10515
