Size,CNOTs,cnot Depth
4,20,16
4,20,15
4,20,16
4,20,16
4,20,16
4,20,16
4,20,15
4,20,15
4,20,16
4,20,16
4,20,15
4,20,15
4,20,15
4,20,16
4,20,16
