Size,CNOTs,cnot Depth
16,574,180
16,595,177
16,595,177
16,620,185
16,603,185
16,626,191
16,601,183
16,625,192
16,567,177
16,637,192
16,619,183
16,603,180
16,631,183
16,633,183
16,631,186
16,631,186
16,637,189
16,544,168
