Size,Depth,Two-Qubit Gates,two_qubit Depth,Total Gates
14,582,423,138,2825
21,1201,1036,303,6899
28,1527,1471,369,9731
35,1620,1712,402,11201
42,2284,2777,588,18443
49,2727,3162,672,20921
