Size,Depth,Two-Qubit Gates,two_qubit Depth,Total Gates
16,471,372,168,1535
16,476,369,169,1528
16,477,375,168,1555
16,452,369,160,1528
16,498,372,179,1522
16,472,375,168,1554
16,470,369,167,1522
16,472,369,168,1530
16,902,756,327,2994
16,499,369,179,1517
16,493,372,167,1662
