Size,Depth,Two-Qubit Gates,two_qubit Depth,Total Gates
10,239,177,65,1024
15,713,539,182,3375
20,1012,784,259,4908
25,1459,1104,373,6965
30,1659,1217,425,7574
35,2064,1642,526,10366
