Size,CNOTs,cnot Depth
9,93,35
9,96,38
9,96,38
9,96,38
9,96,41
9,96,41
9,96,38
9,96,44
9,96,38
9,93,35
9,93,38
9,93,38
9,93,38
9,93,35
9,93,35
9,93,35
9,96,41
9,96,41
