Size,Depth,Two-Qubit Gates,two_qubit Depth,Total Gates
12,524,360,131,2190
18,952,783,246,4878
24,1315,1125,340,6999
30,1632,1437,416,8910
36,2434,2115,608,13383
42,2488,2403,642,15126
