Size,Depth,Two-Qubit Gates,two_qubit Depth,Total Gates
36,965,1285,348,5203
36,1332,1894,489,7708
36,1398,2009,508,8099
36,1264,1916,463,7745
36,1177,1294,427,5227
36,1046,1309,376,5307
36,1216,1348,438,5405
36,1035,1285,376,5161
36,1006,1303,362,5283
36,1066,1324,387,5335
36,1315,1337,478,5357
36,1114,1330,400,5391
36,3064,3447,1130,13416
36,984,1336,355,5406
36,1109,1329,389,5776
